file,column,description
patients.csv,patient_id,Synthetic patient identifier
patients.csv,age,Synthetic age in years
patients.csv,sex,Synthetic demographic field
patients.csv,city,Synthetic city for UI/filter testing
patients.csv,registration_year,Synthetic registration year
health_records.csv,height_cm,Synthetic height
health_records.csv,weight_kg,Synthetic weight
health_records.csv,heart_rate_bpm,Synthetic heart rate
health_records.csv,systolic_bp,Synthetic systolic blood pressure
health_records.csv,diastolic_bp,Synthetic diastolic blood pressure
health_records.csv,temperature_c,Synthetic temperature
health_records.csv,spo2_percent,Synthetic oxygen saturation
symptom_assessments.csv,symptom_*,Binary synthetic symptom indicators
symptom_assessments.csv,probable_condition_label,Synthetic ML target label
symptom_assessments.csv,urgency_label_demo,Demo label generated by transparent software rule
ai_predictions.csv,confidence_demo,Synthetic model confidence for UI/testing
doctor_decisions.csv,doctor_decision,Synthetic accept/override/pending status
